company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
/company/advercar,AdverCar,advertising,USA,CA,SF Bay,San Francisco,/company/1-800-flowers-com,1-800-FLOWERS.COM,,USA,NY,New York,New York,series-a,2012-10-30,2012-10,2012-Q4,2012,2000000
/company/launchgram,LaunchGram,news,USA,CA,SF Bay,Mountain View,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,2012-01-23,2012-01,2012-Q1,2012,20000
/company/utap,uTaP,messaging,USA,,United States - Other,,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,2012-01-01,2012-01,2012-Q1,2012,20000
/company/zoopshop,ZoopShop,software,USA,OH,Columbus,columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,2012-02-15,2012-02,2012-Q1,2012,20000
/company/efuneral,eFuneral,web,USA,OH,Cleveland,Cleveland,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,2011-09-08,2011-09,2011-Q3,2011,20000
/company/tackk,Tackk,web,USA,OH,Cleveland,Cleveland,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,2012-02-01,2012-02,2012-Q1,2012,20000
/company/acclaimd,Acclaimd,analytics,USA,OH,Columbus,Columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,2012-06-01,2012-06,2012-Q2,2012,20000
/company/acclaimd,Acclaimd,analytics,USA,OH,Columbus,Columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,2012-08-07,2012-08,2012-Q3,2012,70000
/company/toviefor,ToVieFor,ecommerce,USA,NY,New York,New York,/company/2010-nyu-stern-business-plan-competition,2010 NYU Stern Business Plan Competition,,,,unknown,,angel,2010-04-01,2010-04,2010-Q2,2010,75000
/company/ohk-labs,OHK Labs,sports,USA,FL,Palm Beach,Boca Raton,/company/22hundred-group,22Hundred Group,,,,unknown,,angel,2011-09-01,2011-09,2011-Q3,2011,100000
/company/lovely,Lovely,real_estate,USA,CA,SF Bay,San Francisco,/company/3taps,3taps,web,USA,CA,SF Bay,San Francisco,series-a,2012-10-01,2012-10,2012-Q4,2012,2000000
/company/peertransfer,peerTransfer,finance,USA,MA,Boston,Boston,/company/500-hats,500 Hats,,USA,CA,SF Bay,Palo Alto,angel,2010-10-28,2010-10,2010-Q4,2010,1100000
/company/spotdock,spotdock,web,USA,NY,New York,NYC,/company/9mmedia-llc,"9mmedia, LLC",,,,unknown,,angel,2012-01-10,2012-01,2012-Q1,2012,600000
/company/fisker,Fisker Automotive,automotive,USA,CA,Los Angeles,Irvine,/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,series-a,2010-05-01,2010-05,2010-Q2,2010,189000000
/company/fisker,Fisker Automotive,automotive,USA,CA,Los Angeles,Irvine,/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,venture,2011-02-22,2011-02,2011-Q1,2011,150000000
/company/metroflats-com,MetroFlats.com,travel,USA,NJ,Cedar Grove,Cedar Grove,/company/aa-investments,AA Investments,,BMU,,Bermuda - Other,,angel,2010-08-18,2010-08,2010-Q3,2010,
/company/mesocoat,MesoCoat,nanotech,USA,OH,Cleveland,Euclid,/company/abakan-inc,Abakan,cleantech,USA,FL,Miami,Miami,venture,2009-12-14,2009-12,2009-Q4,2009,
/company/trilliant,Trilliant,hardware,USA,CA,SF Bay,Redwood City,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,series-b,2010-07-15,2010-07,2010-Q3,2010,106000000
/company/power-assure,Power Assure,network_hosting,USA,CA,SF Bay,Santa Clara,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,venture,2010-09-20,2010-09,2010-Q3,2010,1500000
/company/trilliant,Trilliant,hardware,USA,CA,SF Bay,Redwood City,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,venture,2010-12-21,2010-12,2010-Q4,2010,
/company/ecotality,ECOtality,cleantech,USA,CA,SF Bay,San Francisco,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,venture,2011-01-09,2011-01,2011-Q1,2011,10000000
/company/evalve,Evalve,biotech,USA,CA,SF Bay,Menlo Park,/company/abbott,Abbott Labs,biotech,USA,IL,Chicago,Des Plaines,series-c+,2007-11-27,2007-11,2007-Q4,2007,60000000
/company/ovalis,Ovalis,biotech,USA,CA,SF Bay,Mountain View,/company/abbott,Abbott Labs,biotech,USA,IL,Chicago,Des Plaines,series-b,2007-01-30,2007-01,2007-Q1,2007,6600000
